slug,tier,year,journal,title,authors,doi,url
temesvary-2014-jimf,B,2014,Journal of International Money and Finance,Foreign activities of U.S. banks since 1997: The roles of regulations and market conditions in crises and normal times,temesvary-judit,10.1016/j.jimonfin.2014.09.008,https://doi.org/10.1016/j.jimonfin.2014.09.008
benczur-konya-2013-jimf,B,2013,Journal of International Money and Finance,"Convergence, capital accumulation and the nominal exchange rate",benczur-peter; konya-istvan,10.1016/j.jimonfin.2013.06.009,https://doi.org/10.1016/j.jimonfin.2013.06.009
koczy-2015-jmathe,B,2015,Journal of Mathematical Economics,Stationary consistent equilibrium coalition structures constitute the recursive core,koczy-laszlo,10.1016/j.jmateco.2015.08.006,https://doi.org/10.1016/j.jmateco.2015.08.006
koczy-2006-jmathe,B,2006,Journal of Mathematical Economics,The core can be accessed with a bounded number of blocks,koczy-laszlo,10.1016/j.jmateco.2006.09.002,https://doi.org/10.1016/j.jmateco.2006.09.002
laczo-rossi-2020-jome,B,2020,Journal of Monetary Economics,Time-consistent consumption taxation,laczo-sarolta; Raffaele Rossi,10.1016/j.jmoneco.2019.07.005,https://doi.org/10.1016/j.jmoneco.2019.07.005
abraham-2007-jme,B,2007,Journal of Monetary Economics,"Comment on: “Altruism, incomplete markets, and tax reform” by Fuster, İmrohoroğlu and İmrohoroğlu",abraham-arpad,10.1016/j.jmoneco.2007.11.009,https://doi.org/10.1016/j.jmoneco.2007.11.009
benczur-simon-et-al-2006-jopm,B,2006,Journal of Policy Modeling,Social costs of consumer impatience in Hungary,benczur-peter; András Simon; Viktor Várpalotai,10.1016/j.jpolmod.2006.04.012,https://doi.org/10.1016/j.jpolmod.2006.04.012
biro-2012-jope,B,2012,Journal of Population Economics,Subjective mortality hazard shocks and the adjustment of consumption expenditures,biro-aniko,10.1007/s00148-012-0461-5,https://doi.org/10.1007/s00148-012-0461-5
ambrus-greiner-zednik-2025-jpube,B,2025,Journal of Public Economics,The Effect of a 'None of the Above' Ballot Paper Option on Voting Behavior and Election Outcomes,ambrus-attila; Ben Greiner; Anita Zednik,,
szabo-ujhelyi-2024-jpube,B,2024,Journal of Public Economics,National parks and economic development,Andrea Szabó; ujhelyi-gergely,10.1016/j.jpubeco.2024.105073,https://doi.org/10.1016/j.jpubeco.2024.105073
biro-prinz-et-al-2022-jpube,B,2022,Journal of Public Economics,"The minimum wage, informal pay, and tax enforcement",biro-aniko; prinz-daniel; László Sándor,10.1016/j.jpubeco.2022.104728,https://doi.org/10.1016/j.jpubeco.2022.104728
kong-prinz-2020-jpube,B,2020,Journal of Public Economics,Disentangling policy effects using proxy data: Which shutdown policies affected unemployment during the COVID-19 pandemic?,Edward Kong; prinz-daniel,10.1016/j.jpubeco.2020.104257,https://doi.org/10.1016/j.jpubeco.2020.104257
